group,n,first_entry,last_entry,mean_entry_iv,mean_realized_vol,mean_iv_minus_realized,mean_short_net_pnl,median_short_net_pnl,mean_return_on_capital,median_return_on_capital,sd_return_on_capital,win_rate,annualized_mean_roc,sharpe_like_ratio,worst_trade_roc,best_trade_roc,expected_shortfall_roc,mean_cost_share_of_premium,mean_theta_pct_premium,mean_gamma_pct_premium,mean_vega_pct_premium,mean_residual_pct_premium,vix_lower_bound,vix_upper_bound,mean_entry_vix
Low VIX,186,2012-09-07,2024-12-16,0.2164993458877422,0.19946794005234592,0.017031405835396293,501.0208526770919,44.67776739335929,0.021660739598890134,0.03572232863166126,0.08912238441202068,0.6935483870967742,0.2599288751866816,0.8419321759020737,-0.4158082575964257,0.3124087359493823,-0.2257362105109248,0.018886484720409106,-0.6227640138845412,0.44039891476383763,0.10321277178267489,-0.04105674937201869,,0.145,0.1270241935483871
Middle VIX,186,2011-01-07,2026-06-23,0.25781181979461576,0.21845583902363624,0.039355980770979515,1029.0425556251366,70.63347642551356,0.041231395320844674,0.04915471993481135,0.07889601309912138,0.7311827956989247,0.4947767438501361,1.8103543831280355,-0.25746739218470277,0.2621600025051435,-0.1469715783430482,0.017464584989093885,-0.5685038636172471,0.38653747248502024,0.025530352240331892,-0.006023711393787762,0.145,0.1859,0.1656
High VIX,183,2011-03-10,2026-05-21,0.34617295356583455,0.2907287209282155,0.05544423263761907,1450.0397590466587,241.46891547674173,0.05917240753310051,0.07355675129355885,0.1086513264254514,0.8032786885245902,0.7100688903972061,1.886578279811841,-0.4274999070891642,0.3091442885251303,-0.24372389046374338,0.015151573715916036,-0.5210788808524333,0.38541251376572816,-0.027700805834073007,-0.013110918051149171,0.1859,,0.2535147540983607
