ticker,horizon_days,moneyness,hedge_interval_days,entry_date,exit_date,entry_spot,exit_spot,strike,entry_iv,realized_vol,iv_minus_realized,entry_premium,exit_value,gross_pnl_per_share,gross_pnl_pct_spot,gross_pnl_pct_premium,theta_pct_premium,gamma_pct_premium,vega_pct_premium,residual_pct_premium,theta_pnl,gamma_pnl,vega_pnl,residual_pnl,hedge_pnl,financing_pnl,cost_dollars,capital_dollars,short_net_pnl,short_return_on_capital,rebalances,entry_vix,in_sample,attribution_error
AAPL,21,1.0,1,2025-03-20,2025-04-21,214.10000610351562,193.16000366210938,214.77011512259537,0.30829268954585964,0.7557849038410916,-0.447492214295232,15.191654814592919,21.610111460485996,18.066883764370928,0.08438525571846894,1.1892637099031567,-0.5994766524649923,1.4606877496741346,0.6121850722448359,-0.28413245955082095,-9.107042373655846,22.190264084953963,9.300104300190174,-4.316442247117357,11.853410310198042,-0.20498319172019142,23.866277903755748,4282.0001220703125,-1830.5546543408484,-0.4274999070891642,20,0.198,False,7.105427357601002e-15
AMZN,21,1.0,1,2017-10-11,2017-11-09,49.75,56.45650100708008,49.92651030249071,0.29561312570836173,0.44793895795672045,-0.15232583224835872,3.386370531290937,6.529990704589366,4.078812879406313,0.08198618853078017,1.2044792032404696,-0.3417258860953345,1.7819781783672692,-0.1206783056967213,-0.11509478333474424,-1.1572104704525241,6.034438390626425,-0.4086614581774962,-0.38975358259009313,0.872721347975107,0.06247135813277592,5.847928367812327,995.0,-413.7292163084436,-0.4158082575964257,20,0.09849999999999999,True,1.7763568394002505e-15
AMZN,21,1.0,1,2025-03-20,2025-04-21,194.9499969482422,167.32000732421875,195.64166896697378,0.3439265198959655,0.6468376935527693,-0.3029111736568038,15.436896599524065,28.321661642755032,13.74514479729882,0.07050600160280103,0.8904085551575566,-0.6657259087074917,1.273489712594303,0.5208658587633972,-0.23822110749265196,-10.276742016341746,19.658729013875874,8.040552403952868,-3.677394604188176,1.091806423774746,-0.23142666970689402,23.955227762882767,3898.9999389648438,-1398.4697074927649,-0.35867394957283544,20,0.198,False,3.552713678800501e-15
AMZN,21,1.0,1,2014-01-10,2014-02-11,19.882999420166016,18.089500427246094,19.95354322402684,0.3467112412181342,0.5060534553849901,-0.15934221416685596,1.5871501723790071,1.8640427967807476,1.2313268379232787,0.06192862615458435,0.7758099134863977,-0.44664939237753803,1.0514434782194655,0.005098305558504445,0.16591752208596589,-0.7088996601049883,1.6687986977028075,0.00809177654602118,0.2633360237794385,0.9817338664372567,-0.027299652915718592,3.4715943332319683,397.6599884033203,-126.60427812555983,-0.31837318769207795,20,0.12140000000000001,True,2.220446049250313e-16
AMZN,21,1.0,1,2022-04-13,2022-05-13,155.54100036621094,113.05500030517578,156.09285140187623,0.4072150589340314,0.742244627670799,-0.3350295687367676,14.580356957544748,43.03785109670045,8.904980148596456,0.05725165793990184,0.610751861187355,-0.2680529409829806,0.8834433553358485,0.19320974526126428,-0.1978482984267769,-3.9083075630515327,12.880919472567715,2.817067053585523,-2.884698814505246,-19.191399728995393,-0.361114261563851,18.945371321370963,3110.8200073242188,-909.4433861810166,-0.292348443188546,20,0.2182,False,3.552713678800501e-15
AAPL,21,1.0,1,2022-10-13,2022-11-11,142.99000549316406,149.6999969482422,143.4375481815697,0.4621591201812172,0.5212218377569181,-0.05906271757570092,15.203504266263948,6.262448766672492,7.339943577329864,0.05133186443356536,0.4827797229364381,-0.5614974435177864,0.8742370420549588,-0.1684397824854982,0.3384799068847641,-8.536728778018967,13.29146659860854,-2.5608749516268436,5.146080708367135,16.25780121280844,0.0231978641128753,24.384167159206307,2859.8001098632812,-758.3785248921927,-0.2651858506741748,20,0.3194,False,1.7763568394002505e-15
AMZN,21,1.0,1,2018-10-11,2018-11-09,85.96800231933594,85.62149810791016,86.27301213026877,0.4948188868061866,0.6288088008059476,-0.133989913999761,9.789566200539548,0.6515140223586116,4.35478300199218,0.050655858976645096,0.44483922094036893,-0.5457926510977628,1.1194076990693278,-0.11521668678222005,-0.013559140248976172,-5.343073289689533,10.958515775432836,-1.1279213826613732,-0.13273810108975254,13.533166272411133,-0.040331092238018965,15.611255186812238,1719.3600463867188,-451.0895553860302,-0.26235898428255733,20,0.2498,True,2.6645352591003757e-15
AMZN,21,1.0,1,2015-04-14,2015-05-13,19.25550079345703,21.3435001373291,19.32381826621408,0.3981792496759436,0.5067566925470317,-0.10857744287108811,1.7649965057663901,2.019681871115022,0.9592120303096695,0.04981496148028553,0.5434639826061095,-0.2653162584703085,0.9773801775539825,-0.2616913786526483,0.09309144217508362,-0.4682822691231069,1.7250725981881132,-0.4618843689111135,0.16430607015577656,0.6638370125985695,0.04068965236246804,3.4081088625859093,385.1100158691406,-99.32931189355286,-0.2579245093622927,20,0.1367,True,0.0
AAPL,21,1.0,1,2011-07-11,2011-08-09,12.64285659790039,13.357500076293945,12.682427321822223,0.3029510630204362,0.3797497441350279,-0.0767986811145917,0.8815517106827024,0.6750727544717225,0.6261895391625477,0.04952911822685227,0.710326497668079,-0.49642893933332505,0.9517754154088768,-0.09701847257805092,0.3519984941705782,-0.4376277807016922,0.8390392456394351,-0.08552680046900364,0.31030487469380846,0.8043965993935872,0.028271895979940596,2.4835124442767675,252.8571319580078,-65.10246636053154,-0.25746739218470277,20,0.1839,True,0.0
AAPL,21,1.0,1,2013-01-10,2013-02-11,18.696786880493164,17.140356063842773,18.75530572757051,0.40634682410017203,0.5592841100809847,-0.15293728598081263,1.7481689201489627,1.6149496637277352,0.8856691129738214,0.04737012400231522,0.5066267354177381,-0.21886143727326726,0.7866026108859071,-0.1334479673792018,0.07233352918430011,-0.3826067624602576,1.375114236858771,-0.23328958902937325,0.12645122760468142,1.0643908766754218,-0.04550250728037267,3.3819007027660177,373.9357376098633,-91.94881200014817,-0.24589468925294514,20,0.1349,True,1.1102230246251565e-16
