signal,threshold,in_sample_n,in_sample_mean_roc,in_sample_win_rate,out_of_sample_n,out_of_sample_mean_roc,out_of_sample_win_rate,eligible
iv_minus_trailing_rv,-0.1,270,0.03325901949936855,0.7444444444444445,253,0.04654570304113673,0.7470355731225297,True
iv_minus_trailing_rv,-0.05,253,0.03120505278039227,0.7312252964426877,233,0.044810838026126856,0.7424892703862661,True
iv_minus_trailing_rv,-0.02,237,0.030919115871543505,0.7257383966244726,222,0.045910414264578064,0.7522522522522522,True
iv_minus_trailing_rv,0.0,214,0.030574449214301545,0.7149532710280374,205,0.04540609781652954,0.7414634146341463,True
iv_minus_trailing_rv,0.02,193,0.027853742953769266,0.694300518134715,182,0.048335481246313844,0.7362637362637363,True
iv_minus_trailing_rv,0.04,153,0.02824079480795874,0.7058823529411765,150,0.054157703101325276,0.7333333333333333,True
iv_minus_trailing_rv,0.06,111,0.024370042741532306,0.6666666666666666,102,0.054316452989458974,0.7254901960784313,True
iv_minus_trailing_rv,0.08,74,0.015831771016243338,0.6351351351351351,71,0.06403379687269443,0.7464788732394366,True
iv_minus_trailing_rv,0.1,55,0.007299433218449677,0.5818181818181818,44,0.06729298207686375,0.7272727272727273,True
iv_minus_trailing_rv,0.15,26,-0.0034361438929901033,0.6153846153846154,18,0.061196464856530325,0.6666666666666666,False
