date,ticker,horizon_days,spot,anchor_iv,matched_iv,term_multiplier,implied_variance,realized_variance,realized_vol,vrp_variance,vrp_vol_points,vrp_ratio,trailing_realized_vol,vix,in_sample
2011-01-07,AAPL,21,12.00428581237793,0.3157,0.3169784813144947,1.0040496715695113,0.10047535761644345,0.0499550895513956,0.22350635237369787,0.050520268065047856,0.09347212894079682,2.0113137323689667,0.09917203376342336,0.1714,True
2011-01-10,AAPL,21,12.23035717010498,0.327,0.32819906310896213,1.0036668596604346,0.1077146250256005,0.04660434878440565,0.21588040389161228,0.061110276241194854,0.11231865921734985,2.3112569499446165,0.11759940408514956,0.1754,True
2011-01-11,AAPL,21,12.20142936706543,0.3177,0.3190522632491305,1.0042564156409521,0.10179434668439247,0.047775434322423725,0.21857592347379828,0.05401891236196874,0.10047633977533221,2.1306838572603954,0.11756695143797828,0.1689,True
2011-01-12,AAPL,21,12.300713539123535,0.3016,0.3028237733815092,1.0040576040500968,0.09170223772501562,0.04749342898338761,0.21792987170965714,0.04420880874162801,0.08489390167185204,1.930840532847007,0.12027774464588294,0.1624,True
2011-01-13,AAPL,21,12.34571361541748,0.3045,0.3056440319832673,1.003757083688891,0.09341827428698851,0.04784167719240986,0.21872740384416822,0.045576597094578654,0.08691662813909906,1.95265466783864,0.12002060655205485,0.16390000000000002,True
2011-01-14,AAPL,21,12.445713996887207,0.2975,0.2987363772842602,1.004155890031127,0.08924342311292387,0.04710880747505997,0.2170456345450421,0.042134615637863894,0.08169074273921811,1.8944105762000134,0.12322890888725962,0.15460000000000002,True
2011-01-18,AAPL,21,12.166070938110352,0.34259999999999996,0.34378034743285985,1.0034452639604783,0.11818492728105782,0.04186949909512839,0.20462037800553587,0.07631542818592943,0.13915996942732398,2.822697424980871,0.14591189095763354,0.15869999999999998,True
2011-01-19,AAPL,21,12.101428985595703,0.2927,0.29354910035526127,1.0029009236599291,0.08617107431938326,0.043680524615772674,0.2089988627140652,0.04249054970361058,0.08455023764119607,1.972757311808192,0.14691202073772106,0.17309999999999998,True
2011-01-20,AAPL,21,11.881428718566895,0.2879,0.28855018467956545,1.0022583698491332,0.08326120907861133,0.04536434349276879,0.21298906895136377,0.037896865585842536,0.07556111572820168,1.8353888245265448,0.15913865295292945,0.17989999999999998,True
2011-01-21,AAPL,21,11.668571472167969,0.3103,0.3108298361010215,1.001707496297201,0.09661518701058788,0.05587764179125302,0.23638452104833985,0.04073754521933486,0.07444531505268165,1.7290491136244022,0.16968134586523134,0.18469999999999998,True
2011-01-24,AAPL,21,12.051786422729492,0.2884,0.28907180030346646,1.0023294046583442,0.0835625057306872,0.04501065785630884,0.2121571536769591,0.03855184787437836,0.07691464662650738,1.8565048748554296,0.20301991613748271,0.1765,True
2011-01-25,AAPL,21,12.192856788635254,0.2796,0.2801898675662932,1.002109683713495,0.07850636188681694,0.04339242096346018,0.2083084754959821,0.035113940923356755,0.0718813920703111,1.8092182953545146,0.20631212910072147,0.1759,True
2011-01-26,AAPL,21,12.280357360839844,0.2677,0.2684545965732577,1.002818814244519,0.07206787042131055,0.04558116887844701,0.2134974680843944,0.02648670154286354,0.054957128488863305,1.581088686283948,0.20747308824239016,0.1664,True
2011-01-27,AAPL,21,12.257499694824219,0.26530000000000004,0.2661285381790092,1.0031230236675808,0.07082439883329637,0.048028052648937676,0.21915303477008408,0.022796346184358697,0.046975503408925146,1.4746464811094715,0.20740264537256922,0.16149999999999998,True
2011-01-28,AAPL,21,12.003570556640625,0.2873,0.2874615909856937,1.0005624468698004,0.08263416629202625,0.04424868240374806,0.2103537078440693,0.038385483888278185,0.0771078831416244,1.8674943931217884,0.21970635284910797,0.2004,True
2011-01-31,AAPL,21,12.118571281433105,0.2743,0.2744788268282034,1.0006519388560096,0.07533862637698688,0.043928053078410335,0.20959020272524748,0.03141057329857654,0.06488862410295593,1.7150458783709253,0.22149274437839253,0.1953,True
2011-02-01,AAPL,21,12.322500228881836,0.25170000000000003,0.25210124348530044,1.0015941338311498,0.06355503696683473,0.04583253403133788,0.21408534286900138,0.017722502935496855,0.03801590061629906,1.3866795347466307,0.22860827153550248,0.17629999999999998,True
2011-02-02,AAPL,21,12.29714298248291,0.2515,0.25205283223088487,1.0021981400830413,0.06353063023561059,0.04579956343630629,0.21400832562380906,0.0177310667993043,0.03804450660707581,1.387144886740307,0.21625421107781373,0.17300000000000001,True
2011-02-03,AAPL,21,12.265713691711426,0.2511,0.2518227296361947,1.0028782542261836,0.063414687161424,0.047740457701431725,0.2184958985917853,0.01567422945999227,0.033326831044409366,1.328321725736664,0.2156833753780083,0.16690000000000002,True
2011-02-04,AAPL,21,12.375,0.242,0.24279152074991459,1.0032707469004736,0.058947722548056206,0.04681142635355743,0.21635948408506947,0.012136296194498776,0.026432036664845115,1.259259269368033,0.21602568473589467,0.1593,True
2011-02-07,AAPL,21,12.567143440246582,0.2445,0.24513706200621152,1.0026055705775523,0.06009217916903719,0.04499859785008155,0.2121287294311677,0.015093581318955641,0.03300833257504382,1.335423369617911,0.22250375132854605,0.1628,True
2011-02-08,AAPL,21,12.685713768005371,0.23879999999999998,0.23946237282871297,1.0027737555641247,0.05734222800075753,0.047243981308857354,0.21735680644704308,0.010098246691900174,0.022105566381669883,1.213746733703134,0.22350635237369787,0.15810000000000002,True
2011-02-09,AAPL,21,12.791428565979004,0.2451,0.2457595754131716,1.0026910461573708,0.060397768907262374,0.049200752457876716,0.22181242629275014,0.011197016449385658,0.02394714912042145,1.2275781546018427,0.21588040389161228,0.15869999999999998,True
2011-02-10,AAPL,21,12.662142753601074,0.2602,0.26089742621120243,1.0026803466994714,0.06806746700362981,0.048200058555014164,0.21954511735635152,0.019867408448615648,0.04135230885485092,1.4121863965360033,0.21857592347379828,0.1609,True
2011-02-11,AAPL,21,12.744643211364746,0.2464,0.24713567968241024,1.0029857129967947,0.061076044172086875,0.05418801984773861,0.23278320353440154,0.006888024324348263,0.014352476148008692,1.1271134162809922,0.21792987170965714,0.15689999999999998,True
2011-02-14,AAPL,21,12.82785701751709,0.2394,0.24004082005376107,1.002676775496078,0.057619595292082104,0.07870562747558689,0.2805452324948455,-0.021086032183504785,-0.04050441244108441,0.732089904371256,0.21872740384416822,0.1595,True
2011-02-15,AAPL,21,12.853570938110352,0.23579999999999998,0.23638482945285333,1.0024801927601923,0.05587778759545455,0.0809868765673885,0.2845819329602434,-0.025109088971933945,-0.04819710350739009,0.6899610154610558,0.2170456345450421,0.1637,True
2011-02-16,AAPL,21,12.968929290771484,0.23120000000000002,0.23166832707747906,1.0020256361482658,0.053670213770877814,0.08173810151943858,0.2858987609617058,-0.02806788774856077,-0.05423043388422674,0.6566119444077645,0.20462037800553587,0.1672,True
2011-02-17,AAPL,21,12.796428680419922,0.2723,0.27301778092024515,1.0026359930967506,0.07453870869861498,0.0875517524513992,0.29589145383298787,-0.013013043752784226,-0.022873672912742726,0.8513674096928227,0.2089988627140652,0.1659,True
2011-02-18,AAPL,21,12.520000457763672,0.3171,0.318134768563715,1.0032632247357773,0.10120973096908849,0.0822027839989295,0.28671027885119416,0.01900694697015899,0.03142448971252082,1.2312202342247498,0.21298906895136377,0.1643,True
2011-02-22,AAPL,21,12.09321403503418,0.3682,0.36838842011151807,1.0005117330568116,0.13571002807226032,0.06818681667163293,0.2611260551374239,0.06752321140062739,0.1072623649740942,1.9902678361683717,0.23638452104833985,0.20800000000000002,True
2011-02-23,AAPL,21,12.236429214477539,0.34090000000000004,0.34100670862560206,1.000313020315641,0.11628557532766626,0.06994968098551367,0.26448002001193527,0.046335894342152587,0.0765266886136668,1.6624175219862487,0.2121571536769591,0.2213,True
2011-02-24,AAPL,21,12.24571418762207,0.3331,0.33340339409081715,1.000910819846344,0.11115782319127673,0.07421391366124767,0.27242230756905295,0.03694390953002906,0.060981086521764205,1.497803008997221,0.2083084754959821,0.2132,True
2011-02-25,AAPL,21,12.434286117553711,0.3106,0.31105632370179664,1.0014691683895578,0.0967560365148769,0.07152943515368688,0.2674498740954777,0.02522660136119001,0.04360644960631893,1.352674410289814,0.2134974680843944,0.19219999999999998,True
2011-02-28,AAPL,21,12.614643096923828,0.30760000000000004,0.3081839034540053,1.0018982557022278,0.09497731834814767,0.06906728350096197,0.26280655148028936,0.025910034847185695,0.04537735197371595,1.3751419417968684,0.21915303477008408,0.18350000000000002,True
2011-03-01,AAPL,21,12.475357055664062,0.3224,0.3226818974626939,1.0008743717825492,0.10412360695012449,0.06812040122658966,0.2609988529219806,0.036003205723534826,0.06168304454071327,1.528523101380113,0.2103537078440693,0.2101,True
2011-03-02,AAPL,21,12.575714111328125,0.2975,0.29779141385609403,1.0009795423734253,0.08867972616641147,0.06735147106295508,0.2595216196445974,0.021328255103456387,0.03826979421149662,1.316670961552129,0.20959020272524748,0.207,True
2011-03-03,AAPL,21,12.841428756713867,0.26890000000000003,0.26946393224844367,1.0020971820321445,0.07261081078279384,0.06366438240843544,0.25231801839828133,0.008946428374358398,0.017145913850162342,1.140524859205624,0.21408534286900138,0.18600000000000003,True
2011-03-04,AAPL,21,12.85714340209961,0.2812,0.2817422843244037,1.0019284648805251,0.07937871477633313,0.06480567067616025,0.2545695792433971,0.014573044100172877,0.027172705081006554,1.224872977134913,0.21400832562380906,0.1906,True
2011-03-07,AAPL,21,12.691429138183594,0.3045,0.3048646651805758,1.0011975867999205,0.09294246407566459,0.0633351985619633,0.2516648536485842,0.029607265513701284,0.0531998115319916,1.4674693722596501,0.2184958985917853,0.2066,True
2011-03-08,AAPL,21,12.705714225769043,0.2897,0.2902011610657104,1.0017299311898875,0.08421671388388641,0.0633956957593079,0.25178501893343036,0.02082101812457851,0.03841614213228006,1.3284295230961563,0.21635948408506947,0.19820000000000002,True
2011-03-09,AAPL,21,12.588213920593262,0.2909,0.2913834960029734,1.0016620694498914,0.08490434174291482,0.06236002343062459,0.24971988993795546,0.02254431831229023,0.041663606065017955,1.3615187594881317,0.2121287294311677,0.2022,True
2011-03-10,AAPL,21,12.381071090698242,0.3139,0.31416032329624916,1.0008293191979902,0.09869670873360378,0.06002258594576465,0.2449950733091681,0.03867412278783913,0.06916524998708107,1.6443261678659495,0.21735680644704308,0.2188,True
2011-03-11,AAPL,21,12.571070671081543,0.2981,0.2986607906828837,1.0018812166483855,0.08919826789132528,0.05920410260564338,0.24331893186853212,0.029994165285681898,0.05534185881435158,1.5066230880226674,0.22181242629275014,0.20079999999999998,True
2011-03-14,AAPL,21,12.627142906188965,0.3013,0.3017045040011775,1.001342529044731,0.09102560773459652,0.05924580166964441,0.2434046048653238,0.03177980606495211,0.05829989913585368,1.5364060434553126,0.21954511735635152,0.2113,True
2011-03-15,AAPL,21,12.336786270141602,0.32780000000000004,0.3277214189394466,0.999760277423571,0.10740132843168428,0.05424596879471215,0.23290764005225795,0.05315535963697213,0.09481377888718867,1.9798951114345968,0.23278320353440154,0.2432,True
2011-03-16,AAPL,21,11.786070823669434,0.42619999999999997,0.4255004000139768,0.998358517160903,0.1810505904120543,0.03069830208978403,0.17520930936963375,0.15035228832227027,0.2502910906443431,5.897739551931291,0.2805452324948455,0.294,True
2011-03-17,AAPL,21,11.95142936706543,0.3972,0.39692162689332766,0.9992991613628591,0.157546777895646,0.03108094717306255,0.17629789327460085,0.12646583072258344,0.2206237336187268,5.068918170942671,0.2845819329602434,0.2637,True
2011-03-18,AAPL,21,11.809642791748047,0.3832,0.3831683573849532,0.9999174253260783,0.1468179901010832,0.03149992416269736,0.17748217984546324,0.11531806593838584,0.20568617753948995,4.660899795909574,0.2858987609617058,0.2444,True
2011-03-21,AAPL,21,12.117856979370117,0.33649999999999997,0.33695648926419186,1.0013565802799165,0.11353967565724944,0.02740049245694777,0.1655309410863956,0.08613918320030167,0.17142554817779626,4.1437093087157235,0.29589145383298787,0.2061,True
2011-03-22,AAPL,21,12.185713768005371,0.3209,0.3213956730184556,1.0015446338998304,0.10329517863498604,0.029173696078911706,0.17080309153792184,0.07412148255607433,0.15059258148053378,3.540695644308616,0.28671027885119416,0.2021,True
2011-03-23,AAPL,21,12.11392879486084,0.31739999999999996,0.3180157270576251,1.0019399088141938,0.1011340026559899,0.03562209982334374,0.1887381779697572,0.06551190283264616,0.1292775490878679,2.839080322539413,0.2611260551374239,0.1917,True
2011-03-24,AAPL,21,12.320357322692871,0.2963,0.2970314770715331,1.002468704257621,0.0882276983712967,0.03271321651097035,0.18086795324481988,0.05551448186032634,0.11616352382671322,2.697004690495953,0.26448002001193527,0.18,True
2011-03-25,AAPL,21,12.555000305175781,0.29410000000000003,0.294844692690922,1.0025321070755593,0.08693339280800423,0.029092809140149226,0.17056614300660383,0.05784058366785501,0.12427854968431817,2.9881402098098775,0.27242230756905295,0.1791,True
2011-03-28,AAPL,21,12.515713691711426,0.3102,0.31067456982778996,1.0015298833906834,0.09651868833768235,0.02898207128802481,0.17024121500983483,0.06753661704965754,0.14043335481795513,3.3302895220454167,0.2674498740954777,0.19440000000000002,True
2011-03-29,AAPL,21,12.534285545349121,0.3056,0.30624594842260006,1.0021137055713354,0.09378658092525781,0.030098191243338162,0.17348830290062256,0.06368838968191964,0.1327576455219775,3.1160204999367274,0.26280655148028936,0.1816,True
2011-03-30,AAPL,21,12.451070785522461,0.3014,0.30214158281220493,1.0024604605580787,0.09128953606426449,0.030694931018764703,0.17519968898021682,0.06059460504549978,0.12694189383198812,2.97409158562554,0.2609988529219806,0.1771,True
2011-03-31,AAPL,21,12.446785926818848,0.3024,0.3031657564145697,1.0025322632756934,0.09190947586241822,0.032160564233160056,0.17933366731643016,0.05974891162925817,0.12383208909813956,2.857831572732557,0.2595216196445974,0.17739999999999997,True
