ticker,entry_date,in_sample,iv_minus_trailing_rv,term_slope,vix_percentile,entry_iv,trailing_realized_vol,realized_vol,short_return_on_capital,short_net_pnl
AAPL,2011-01-07,True,0.2178064475510713,-0.05625201476765751,0.05511811023622047,0.3169784813144947,0.09917203376342336,0.22350635237369787,0.11891429533110821,28.549623766642828
AAPL,2011-02-08,True,0.015956020455015096,-0.029885083140558988,0.02027027027027027,0.23946237282871297,0.22350635237369787,0.21735680644704308,0.051078511857639196,12.959347622433583
AAPL,2011-03-10,True,0.09680351684920607,-0.01225145337025818,0.6627218934911243,0.31416032329624916,0.21735680644704308,0.2449950733091681,0.1251721334929428,30.9953016670099
AAPL,2011-04-08,True,0.06451185443467106,-0.03652668008937665,0.28421052631578947,0.30950692774383914,0.2449950733091681,0.1720965300514693,0.1364640807010561,32.65975399119279
AAPL,2011-05-10,True,0.056971187404748436,-0.03423100994192019,0.07582938388625593,0.22906771745621773,0.1720965300514693,0.19550434011991216,0.00945073988891917,2.3589721867093902
AAPL,2011-06-09,True,0.04151328468803711,-0.019246865534524232,0.3620689655172414,0.23701762480794927,0.19550434011991216,0.2495235973682171,-0.02020425241570891,-4.783934268205671
AAPL,2011-07-11,True,0.053427465652219064,-0.0253650996572507,0.45454545454545453,0.3029510630204362,0.2495235973682171,0.3797497441350279,-0.25746739218470277,-65.10246636053154
AAPL,2011-08-09,True,0.02706442682787491,0.04506177620170487,0.9963503649635036,0.4068141709629028,0.3797497441350279,0.3178326344584083,0.16403633818468025,43.82230799633692
AAPL,2011-09-08,True,0.04483810381774078,0.006259689504390209,0.9559322033898305,0.3626707382761491,0.3178326344584083,0.23315192818702843,0.17107973799564666,46.941836967474096
AAPL,2011-10-07,True,0.24274739957977562,-0.01415276974518509,0.9208860759493671,0.47589932776680405,0.23315192818702843,0.35390084502727087,0.0914403675317897,24.153319888208834
AAPL,2011-11-07,True,-0.04557359731205485,-0.015318998205186785,0.8160237388724035,0.308327247715216,0.35390084502727087,0.28067797065844097,0.0543326267643428,15.513128305760077
AAPL,2011-12-07,True,0.05429740599693206,-0.022074543250850953,0.7793296089385475,0.334975376655373,0.28067797065844097,0.18373392349339657,0.12945277546373135,35.97770030352583
AAPL,2012-01-09,True,0.13777057812980908,-0.04499254288780885,0.48284960422163586,0.32150450162320565,0.18373392349339657,0.2608781091970575,0.023377948735601613,7.042273078259781
AAPL,2012-02-08,True,-0.013138019402448381,-0.03324114175050438,0.28,0.24774008979460913,0.2608781091970575,0.2372376648479907,-0.06313860412085885,-21.497793425012865
AAPL,2012-03-09,True,0.058759799919474054,-0.06853672881327427,0.1496437054631829,0.29599746476746475,0.2372376648479907,0.26681919319248126,-0.04343968471782665,-16.915724165951854
AAPL,2012-04-10,True,0.1625789049293188,-0.04544790518909286,0.497737556561086,0.4293980981218001,0.26681919319248126,0.4479116519313941,-0.0124886211439636,-5.60596378054537
AAPL,2012-05-09,True,-0.11450836752294608,-0.02332360364834457,0.5075593952483801,0.333403284408448,0.4479116519313941,0.29369701170615925,0.12207808639613031,49.63171537619799
AAPL,2012-06-08,True,-0.0020921878762025226,-0.03203140832600032,0.5681818181818182,0.2916048238299567,0.29369701170615925,0.1957188447725567,0.08658398516355041,35.890297801801054
AAPL,2012-07-10,True,0.1557411215152793,-0.03905764823075736,0.3821782178217822,0.351459966287836,0.1957188447725567,0.22644019258233636,0.14828448613778875,64.42007898004896
