ticker,horizon_days,moneyness,hedge_interval_days,entry_date,exit_date,entry_spot,exit_spot,strike,entry_iv,realized_vol,iv_minus_realized,entry_premium,exit_value,gross_pnl_per_share,gross_pnl_pct_spot,gross_pnl_pct_premium,theta_pct_premium,gamma_pct_premium,vega_pct_premium,residual_pct_premium,theta_pnl,gamma_pnl,vega_pnl,residual_pnl,hedge_pnl,financing_pnl,cost_dollars,capital_dollars,short_net_pnl,short_return_on_capital,rebalances,entry_vix,in_sample,attribution_error
AMZN,21,1.0,1,2016-07-13,2016-08-11,37.131500244140625,38.5620002746582,37.26324079368891,0.4035241462934545,0.11900910802930124,0.28451503826415325,3.4491809047384026,1.298759480969295,-2.3751203524428024,-0.06396510609122501,-0.6886041695232392,-0.4504617798307569,0.08077344194056658,-0.37040419733203384,0.051488365698985114,-1.5537241693067212,0.2786022135513983,-1.2775910844726062,0.1775926877851272,-0.2562056021358592,0.031506673462165215,5.507934140757194,742.6300048828125,232.00410110352306,0.3124087359493823,20,0.1304,True,4.440892098500626e-16
AMZN,21,1.0,1,2020-11-11,2020-12-11,156.8695068359375,155.8209991455078,157.42607134052403,0.375332694438509,0.14742993759334655,0.22790275684516242,13.554764404098966,1.60507219501622,-9.879562386009415,-0.06297949541169902,-0.7288627150924019,-0.7634876483508549,0.14626356230963553,-0.0544119066311878,-0.05722672241999434,-10.348895198835397,1.9825681280113587,-0.7375405751635808,-0.7756947400217915,2.084063481808334,-0.013933658734999585,18.049996959262238,3137.39013671875,969.9062416416792,0.3091442885251303,20,0.2345,False,3.552713678800501e-15
AMZN,21,1.0,1,2020-07-15,2020-08-13,150.44349670410156,158.05099487304688,150.9772620731669,0.6043796052460695,0.38438318418807166,0.21999642105799783,20.91616770581156,7.073732799879963,-8.9919070596689,-0.05976933039089454,-0.4299022261697824,-0.4840014117535389,0.3282626508828816,-0.3148677322753299,0.0407042669762049,-10.123454698086574,6.865996657420623,-6.585826293419375,0.8513772744164289,4.705961694671278,0.14456615159142386,27.09850098057998,3137.4251558717338,872.0922049863101,0.2779643056517787,20,0.2776,False,3.552713678800501e-15
AMZN,21,1.0,1,2025-01-17,2025-02-19,225.94000244140625,226.6300048828125,226.74162531930946,0.37080980998550767,0.23966713082721472,0.13114267915829295,19.287968005563858,0.1116204364969633,-12.116866206009316,-0.053628689364786666,-0.6282085392569116,-0.6972123828050112,0.27400152522375343,-0.1053586461052381,-0.09963903557041562,-13.447810132625998,5.284932651991454,-2.0321541951873576,-1.9218345301874156,6.808879854303315,0.2506015087542642,27.037988479907995,4518.800048828125,1184.6486321210236,0.2621600025051435,20,0.1597,False,1.7763568394002505e-15
AAPL,21,1.0,1,2021-01-13,2021-02-12,130.88999938964844,135.3699951171875,131.29967041532763,0.47354076692096336,0.30375185283312667,0.1697889140878367,14.259171050919523,4.0703247018598745,-6.795901487304236,-0.05192070837339843,-0.47659863697798843,-0.6135971819153031,0.2531529235842021,-0.13449544062334975,0.018341061976462424,-8.74938717329249,3.609750839427497,-1.9177934934171343,0.2615283399778938,3.253071582178015,0.13987327957739767,18.711620392545207,2617.7999877929688,660.8785283378784,0.2524556999845722,20,0.22210000000000002,False,1.7763568394002505e-15
AAPL,21,1.0,1,2021-07-15,2021-08-13,148.47999572753906,149.10000610351562,148.94472146996543,0.3190189424739515,0.18721379831279764,0.13180514416115388,10.901831144908696,0.1552846335501954,-7.455346343171357,-0.05021111636379573,-0.6838618433980337,-0.6584146119372288,0.22816140008088923,-0.14345477541588653,-0.11015385612580753,-7.177924922680255,2.487377057467812,-1.563919738514794,-1.20087873944412,3.428054996263767,-0.13685482807662264,16.003798453526077,2969.5999145507812,729.5308358636096,0.24566637151657095,20,0.17010000000000003,False,0.0
AMZN,21,1.0,1,2024-04-17,2024-05-16,181.27999877929688,183.6300048828125,181.92317038573003,0.42116568464966236,0.2731362398224824,0.14802944482717995,17.5745773247992,1.7068344970824683,-9.070020579585545,-0.05003321183065558,-0.5160875514648643,-0.48744907923554226,0.286026420653223,-0.26765017736795677,-0.04701471551458841,-8.56671153492721,5.026793446705611,-4.703838738149377,-0.8262637532145707,6.670222430066794,0.1274998180643931,23.608903545124633,3625.5999755859375,883.39315441343,0.2436543359339205,20,0.1821,False,1.7763568394002505e-15
AAPL,21,1.0,1,2020-03-16,2020-04-15,60.5525016784668,71.10749816894531,60.74202422095082,1.0135044660119086,0.6553422252404625,0.3581622407714461,14.079248598281257,10.365473947994495,-5.079547132111669,-0.08388666019257165,-0.36078254437042623,-0.37599173557268467,0.3755896138937305,-0.40726634135167555,0.0468859186602034,-5.293681116027058,5.288019544942304,-5.734004065602714,0.6601185045757977,-1.4151548763034634,0.04938239447855632,17.539959948669015,2111.887289742189,490.41475326249787,0.23221634774001876,20,0.8269,False,8.881784197001252e-16
AMZN,21,1.0,1,2025-11-18,2025-12-18,222.5500030517578,226.75999450683594,223.3395983956367,0.4052503554405754,0.22054246994683357,0.18470788549374184,20.761219198396997,3.4203961111992385,-10.400031752601025,-0.04673121370473457,-0.5009355015819122,-0.6208254218007677,0.3170895921335503,-0.2197950448318404,0.022595372917145688,-12.889092665943013,6.583166527814939,-4.5632131044753335,0.4691074900023846,6.786154567276976,0.15463676731976048,27.968385180264615,4451.000061035156,1012.034790079838,0.22737245028131317,20,0.2469,False,3.552713678800501e-15
AMZN,21,1.0,1,2012-06-08,2012-07-10,10.923999786376953,10.975000381469727,10.962757545305633,0.3607720044565192,0.21863103221530658,0.1421409722412126,0.9073351060754348,0.012242836164093163,-0.5085495664970122,-0.04655342149779348,-0.5604870384622063,-0.7086666026095828,0.2977586640617177,0.005007585374039605,-0.1545866852883805,-0.6429980870508838,0.27016688904131836,0.0045435580065360205,-0.14026192649398256,0.3780902562924374,0.008452447121892087,2.475300018260187,218.47999572753906,48.37965663144104,0.22143746602674827,20,0.21230000000000002,True,2.220446049250313e-16
AMZN,21,1.0,1,2012-09-07,2012-10-08,12.956999778747559,12.95300006866455,13.002970511417283,0.31034565012306314,0.18884114537806485,0.1215045047449983,0.9258792109616664,0.049970442752732325,-0.5967955656555612,-0.04605970331453138,-0.6445717309450099,-0.8350859072308842,0.26207027771295177,0.0867884799901021,-0.15834458141717958,-0.7731886808721383,0.24264542194537256,0.0803556493737981,-0.14660795610259356,0.28750889714343353,-0.008395694590060713,2.5995281759159297,259.1399955749512,57.0800283896402,0.2202671504373431,20,0.1438,True,0.0
AMZN,21,1.0,1,2020-12-11,2021-01-13,155.8209991455078,158.29449462890625,156.37384360166016,0.36631844634087446,0.23042848316050685,0.1358899631803676,13.141105339321026,1.9206510272460946,-7.026352511780109,-0.045092462186170454,-0.534685045918911,-0.8718800248555685,0.3045084068256353,0.06887054658578395,-0.036183974474761675,-11.45746724987686,4.001577050804495,0.905035107460403,-0.47549742016814633,4.07648922285862,0.11761257743620258,18.35809023684613,3116.4199829101562,684.2771609411648,0.2195715483450909,20,0.23309999999999997,False,8.881784197001252e-16
AMZN,21,1.0,1,2026-04-22,2026-05-21,255.36000061035156,268.4599914550781,256.26600404656784,0.43153117786664613,0.22177923404943856,0.20975194381720758,25.364934673979143,12.193987408510282,-11.493404197291099,-0.04500863161740292,-0.45312177401669856,-0.49381744894145235,0.22588764516231777,-0.22685326987496454,0.04166129963740076,-12.52564733327097,5.729625363201171,-5.754118370957036,1.0567361437357412,1.2675764579339237,0.4099666102438408,33.64819363741864,5107.200012207031,1115.6922260916913,0.21845477432350544,20,0.1892,False,5.329070518200751e-15
AMZN,21,1.0,1,2013-07-12,2013-08-12,15.3774995803833,14.834500312805176,15.432058115106603,0.3696370877592456,0.1735826123862436,0.196054475373002,1.3085933393261664,0.5975578023014272,-0.6985782458514016,-0.04542859794596,-0.533839065856105,-0.49338374923448175,0.17368230346628444,-0.22551360837948067,0.011375988291573259,-0.6456386879800143,0.22727950547480574,-0.29510560585279794,0.01488654250660522,0.028821932981369338,-0.016364641808031502,2.995854370369394,307.549991607666,66.86197021477076,0.21740195753302097,20,0.1384,True,3.3306690738754696e-16
AMZN,21,1.0,1,2016-05-12,2016-06-13,35.89649963378906,35.762001037597656,36.02385846813515,0.28628570561374983,0.1389798994483435,0.14730580616540634,2.36634261938559,0.2618574305374963,-1.6036277570340316,-0.04467365267906375,-0.6776819822695017,-0.7005674967537787,0.19436896324789402,-0.11767880880667016,-0.05380463995694684,-1.6577827253247426,0.45994356161928296,-0.27846838067775187,-0.12732021265082016,0.5115519511848425,-0.010694519370780427,4.5475301477359436,717.9299926757812,155.81524555566722,0.21703403833977128,20,0.1441,True,0.0
